256,58
264,59
278,64
282,60
296,67
306,59
306,62
315,61
321,64
327,58
338,61
350,60
354,60
364,57
370,57
377,55
385,55
394,52
402,47
406,46
412,43
413,55
418,56
428,58
435,59
445,61
451,63
453,66
460,63
469,66
476,69
480,71
483,74
488,77
495,78
504,80
510,82
516,84
517,86
524,87
528,88
534,88
534,91
546,83
544,82
540,79
538,80
539,74
537,73
531,67
528,66
526,60
524,52
519,44
519,44
523,44
525,48
527,48
526,49
527,44
525,51
528,49
531,46
532,44
533,41
532,41
541,44
540,46
540,46
542,49
545,53
548,59
546,65
546,73
546,81
545,92
539,98
547,107
546,115
548,130
543,130
542,137
542,148
538,150
538,162
537,172
536,178
535,184
533,188
531,192
526,201
521,209
517,217
515,222
512,229
507,235
502,240
500,246
496,260
495,268
490,274
487,279
485,285
484,293
481,301
476,308
475,307
475,305
476,306
475,304
475,308
475,306
474,305
477,310
478,309
479,309
482,310
485,310
489,315
490,315
494,312
501,312
506,310
512,308
516,305
521,303
526,301
531,297
535,296
542,290
547,286
550,287
551,286
543,285
543,281
539,276
538,270
535,262
534,260
530,253
526,247
519,242
519,237
516,232
515,228
509,224
506,218
501,213
499,206
491,198
483,193
478,188
472,185
467,182
467,176
461,168
453,160
447,156
445,153
443,148
435,142
426,134
422,130
415,124
414,123
413,121
408,116
403,107
398,101
394,98
387,99
385,90
378,85
371,79
366,74
363,70
357,66
348,62
343,57
340,54
330,49
326,47
324,47
321,47
319,47
318,48
308,50
302,55
297,56
288,59
283,63
277,66
271,69
263,77
257,81
252,87
249,91
243,102
242,101
239,107
235,115
230,124
227,132
223,135
220,149
219,149
216,156
211,165
207,172
201,179
199,184
194,192
189,196
182,202
179,205
173,208
166,213
164,217
156,218
158,221
145,233
137,238
132,242
125,246
119,249
120,246
113,248
109,249
103,250
97,252
96,254
97,256
97,245
100,245
101,242
104,236
106,235
115,227
122,221
127,216
132,213
140,209
146,206
152,203
158,198
164,195
176,190
187,190
193,188
202,184
212,181
218,180
227,176
234,174
241,173
250,169
258,166
264,163
270,160
279,154
285,149
291,142
298,138
307,132
308,128
312,129
323,119
319,112
322,110
330,107
